HG00978	HG00978		SAME124727	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00864	HG00864		SAME123547	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release																																																							
HG01046	HG01046		SAME123167	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01798	HG01798		SAME124228	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01801	HG01801		SAME124305	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01806	HG01806		SAME124304	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01813	HG01813		SAME124518	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02188	HG02188		SAME122829	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02190	HG02190		SAME125259	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01817	HG01817		SAME124522	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02152	HG02152		SAME124790	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02164	HG02164		SAME124209	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02169	HG02169		SAME1839233	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38																																																							
HG02176	HG02176		SAME1839024	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38																																																							
HG01797	HG01797		SAME124219	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01800	HG01800		SAME124306	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01805	HG01805		SAME124301	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
