IGSR population	SGDP population	new SGDP population	Superpopulation	meta_subpopulation	Notes
Abkhasian	Abkhasian	Abkhasian	MID	Abkhasian	
Adygei	Adygei	Adygei	MID	Adygei	
African Ancestry SW			AFR	African Ancestry SW	
African Caribbean			AFR	African Caribbean	
Albanian	Albanian	Albanian	EUR	Albanian	
Aleut	Aleut	Aleut	EAS	Aleut	
Altaian	Altaian	Altaian	CSA	Altaian	
Ami	Ami	Ami	EAS	Ami	
Armenian	Armenian	Armenian	MID	Armenian	
Atayal	Atayal	Atayal	EAS	Atayal	
Australian	Australian	Australian	OCE	Australian	
Balochi	Balochi	Balochi	CSA	Balochi	
Bantu Herero	BantuHerero	BantuHerero	AFR	Bantu	
Bantu Kenya	BantuKenya	BantuKenya	AFR	Bantu	
Bantu South Africa	BantuTswana	BantuTswana	AFR	Bantu	
Bantu Tswana			AFR	Bantu	
Basque	Basque	Basque	EUR	Basque	
Bedouin			MID	Bedouin	
Bedouin B	BedouinB	BedouinB	MID	BedouinB	
Bengali	Bengali	Bengali	CSA	Bengali	
Bengali,Bengali			CSA	Bengali	
Bergamo	Bergamo	Bergamo	EUR	Bergamo	
Bergamo Italian			EUR	Bergamo	
Biaka	Biaka	Biaka	AFR	Biaka	
Bougainville	Bougainville	Bougainville	OCE	Bougainville	
Brahmin	Brahmin	Brahmin	CSA	Brahmin	
Brahui	Brahui	Brahui	CSA	Brahui	
British			EUR	British	
British,English	English	English	EUR	English	
Bulgarian	Bulgarian	Bulgarian	EUR	Bulgarian	
Burmese	Burmese	Burmese	EAS	Burmese	
Burusho	Burusho	Burusho	CSA	Burusho	
CEPH			EUR	Utah residents with Northern and Western European ancestry	
Cambodian	Cambodian	Cambodian	EAS	Cambodian	
Cambodian,Cambodian			EAS	Cambodian	
Chane	Chane	Chane	EAS	Chane	
Chechen	Chechen	Chechen	MID	Chechen	
Chukchi	Chukchi	Chukchi	EAS	Chukchi	
Colombian			AMR	Colombian	
Crete	Crete		EUR	Crete	
Czech	Czech	Czech	EUR	Czech	
Dai	Dai	Dai	EAS	Dai	
Dai Chinese			EAS	Dai Chinese	
Daur	Daur	Daur	EAS	Daur	
Dinka	Dinka	Dinka	AFR	Dinka	
Druze	Druze	Druze	MID	Druze	
Dusun	Dusun	Dusun	EAS	Dusun	
Esan	Esan	Esan	AFR	Esan	
Esan,Esan			AFR	Esan	
Eskimo Chaplin	Eskimo_Chaplin	Eskimo_Chaplin	EAS	Eskimo	
Eskimo Naukan	Eskimo_Naukan	Eskimo_Naukan	EAS	Eskimo	
Eskimo Sireniki	Eskimo_Sireniki	Eskimo_Sireniki	EAS	Eskimo	
Estonian	Estonian	Estonian	EUR	Estonian	
Even	Even	Even	EAS	Even	
Finnish	Finnish	Finnish	EUR	Finnish	
Finnish,Finnish			EUR	Finnish	
French	French	French	EUR	French	
Gambian Fula			AFR	Gambian	
Gambian Jola			AFR	Gambian	
Gambian Mandinka			AFR	Gambian	
Gambian Mandinka,Gambian			AFR	Gambian	
Gambian Wolof			AFR	Gambian	
Georgian	Georgian	Georgian	MID	Georgian	
Greek	Greek	Greek	EUR	Greek	
Gujarati			CSA	Gujarati	
Han	Han	Han	EAS	Han	
Han Chinese			EAS	Han	
Hawaiian	Hawaiian	Hawaiian	OCE	Hawaiian	
Hazara	Hazara	Hazara	CSA	Hazara	
Hezhen	Hezhen	Hezhen	EAS	Hezhen	
Hungarian	Hungarian	Hungarian	EUR	Hungarian	
Iberian			EUR	Iberian	
Iberian,Mende			EUR	Iberian	Likely mistake
Iberian,Spanish	Spanish	Spanish	EUR	Spanish	
Icelandic	Icelandic	Icelandic	EUR	Icelandic	
Igorot	Igorot	Igorot	EAS	Igorot	
Iranian	Iranian	Iranian	MID	Iranian	
Iraqi Jew	Iraqi_Jew	Iraqi_Jew	MID	Iraqi_Jew	
Irula	Irula	Irula	CSA	Irula	
Itelman	Itelman	Itelman	EAS	Itelman	
Japanese	Japanese	Japanese	EAS	Japanese	
Japanese,Japanese			EAS	Japanese	
Jordanian	Jordanian	Jordanian	MID	Jordanian	
Ju|'hoan North	Ju_hoan_North	Ju_hoan_North	AFR	Ju_hoan_North	
Ju|'hoan North,San			AFR	Ju_hoan_North	
Kalash	Kalash	Kalash	CSA	Kalash	
Kapu	Kapu	Kapu	CSA	Kapu	
Karitiana	Karitiana	Karitiana	EAS	Karitiana	
Khomani San	Khomani_San	Khomani_San	AFR	Khomani_San	
Khonda Dora	Khonda_Dora	Khonda_Dora	CSA	Khonda_Dora	
Kinh Vietnamese			EAS	Kinh	
Kinh,Kinh Vietnamese	Kinh	Kinh	EAS	Kinh	
Korean	Korean	Korean	EAS	Korean	
Kusunda	Kusunda	Kusunda	CSA	Kusunda	
Kyrgyz	Kyrgyz	Kyrgyz	CSA	Kyrgyz	
Lahu	Lahu	Lahu	EAS	Lahu	
Lezgin	Lezgin	Lezgin	MID	Lezgin	
Luhya	Luhya	Luhya	AFR	Luhya	
Luhya,Luhya			AFR	Luhya	
Luo	Luo	Luo	AFR	Luo	
Madiga	Madiga	Madiga	CSA	Madiga	
Makrani	Makrani	Makrani	CSA	Makrani	
Mandenka	Mandenka	Mandenka	AFR	Mandenka	
Mansi	Mansi	Mansi	CSA	Mansi	
Maori	Maori	Maori	OCE	Maori	
Masai	Masai	Masai	AFR	Masai	
Maya			EAS	Maya	
